url;dominio;nome
http://www.a2000.gov.br;a2000.gov.br;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO
http://www.abc.gov.br;abc.gov.br;MINISTERIO DAS RELACOES EXTERIORES
http://www.abin.gov.br;abin.gov.br;AGENCIA BRASILEIRA DE INTELIGENCIA
http://www.abrasil.gov.br;abrasil.gov.br;MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO
http://www.ac-jus.gov.br;ac-jus.gov.br;CONSELHO DA JUSTICA FEDERAL
http://www.ac.gov.br;ac.gov.br;SECRETARIA DE ESTADO DA GESTAO ADMINISTRATIVA - SG
http://www.acjus.gov.br;acjus.gov.br;CONSELHO DA JUSTICA FEDERAL
http://www.acraiz.gov.br;acraiz.gov.br;INSTITUTO NACIONAL DE TECNOLOGIA INFORMACAO - ITI
http://www.acre.gov.br;acre.gov.br;SECRETARIA DE ESTADO DA GESTAO ADMINISTRATIVA - SG
http://www.acs.gov.br;acs.gov.br;ALCANTARA CYCLONE SPACE - BINACIONAL
http://www.ada.gov.br;ada.gov.br;SUPERINTEDENCIA DO DENVOLVIMENTO DA AMAZONIA
http://www.adene.gov.br;adene.gov.br;AGENCIA DE DESENVOLVIMENTO DO NORDESTE
http://www.aeb.gov.br;aeb.gov.br;AGENCIA ESPACIAL BRASILEIRA
http://www.aeroportodebrasilia.gov.br;aeroportodebrasilia.gov.br;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA
http://www.aeroportodesalvador.gov.br;aeroportodesalvador.gov.br;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA
http://www.aeroportoindustria.gov.br;aeroportoindustria.gov.br;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA
http://www.aeroportoindustrial.gov.br;aeroportoindustrial.gov.br;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA
http://www.aeroshopping.gov.br;aeroshopping.gov.br;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA
http://www.agenciabrasil.gov.br;agenciabrasil.gov.br;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC
http://www.agenciacamara.gov.br;agenciacamara.gov.br;CAMARA DOS DEPUTADOS
http://www.agespacial.gov.br;agespacial.gov.br;AGENCIA ESPACIAL BRASILEIRA
http://www.agricultura.gov.br;agricultura.gov.br;MINISTERIO DA AGRICULTURA E DO ABASTECIMENTO
http://www.agriculturafamiliar.gov.br;agriculturafamiliar.gov.br;MINISTERIO DO DESENVOLVIMENTO AGRARIO
http://www.agritempo.gov.br;agritempo.gov.br;EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA
http://www.agrolivre.gov.br;agrolivre.gov.br;EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA
http://www.agronet-pe.gov.br;agronet-pe.gov.br;ESCOLA AGROTECNICA FEDERAL DE BELO JARDIM
http://www.agronet.gov.br;agronet.gov.br;ESCOLA AGROTECNICA FEDERAL DE SAO JOAO EVANGELISTA
http://www.agu.gov.br;agu.gov.br;ADVOCACIA-GERAL DA UNIAO
http://www.ahimor.gov.br;ahimor.gov.br;ADMINISTRACAO DAS HIDROVIAS DA AMAZONIA ORIENTAL
http://www.ahinor.gov.br;ahinor.gov.br;ADMINISTRACAO DAS HIDROVIAS DO NORDESTE - AHINOR
http://www.ahipar.gov.br;ahipar.gov.br;AHIPAR ADMINISTRACAO DA HIDROVIA DO PARAGUAI
http://www.ahitar.gov.br;ahitar.gov.br;AHITAR - ADMINISTRACAO DAS HIDROVIAS DO TOCANTINS
http://www.ahrana.gov.br;ahrana.gov.br;ADIMINISTRACAO DA HIDROVIA DO PARANA-AHRANA
http://www.ahsfra.gov.br;ahsfra.gov.br;ADMINISTRACAO DA HIDROVIA DO SAO FRANCISCO
http://www.aids.gov.br;aids.gov.br;FUNDO NACIONAL DE SAUDE
http://www.al.gov.br;al.gov.br;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE ALAGOAS
http://www.aleam.gov.br;aleam.gov.br;ASSEMBLEIA LEGISLATIVA DO ESTADO DO AMAZONAS
http://www.alemg.gov.br;alemg.gov.br;ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS
http://www.almg.gov.br;almg.gov.br;ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS
http://www.altatv.gov.br;altatv.gov.br;CENTRO DE TECNOLOGIA DA INFORMACAO RENATO ARCHER
http://www.am.gov.br;am.gov.br;PRODAM PROCESSAMENTO DE DADOS AMAZONAS S.A
http://www.amapa.gov.br;amapa.gov.br;GOVERNO DO ESTADO DO AMAPA
http://www.amazonasenergia.gov.br;amazonasenergia.gov.br;CENTRAIS ELETRICAS DO NORTE DO BRASIL
http://www.amazonfund-bndes.gov.br;amazonfund-bndes.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI
http://www.amazonfund.gov.br;amazonfund.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI
http://www.amazoniafund.gov.br;amazoniafund.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI
http://www.amazoniafundo-bndes.gov.br;amazoniafundo-bndes.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI
http://www.amazoniafundo.gov.br;amazoniafundo.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI
http://www.amazonianfund-bndes.gov.br;amazonianfund-bndes.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI
http://www.amazonianfund.gov.br;amazonianfund.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI
http://www.ambiente.gov.br;ambiente.gov.br;MINISTERIO DO MEIO AMBIENTE
http://www.an.gov.br;an.gov.br;ARQUIVO NACIONAL
http://www.ana.gov.br;ana.gov.br;AGENCIA NACIONAL DE AGUAS
http://www.anac.gov.br;anac.gov.br; AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC
http://www.anapost.gov.br;anapost.gov.br;EMPRESA BRASILEIRA DE CORREIOS E TEL
http://www.anatel.gov.br;anatel.gov.br;AGENCIA NACIONAL DE TELECOMUNICACOES - ANATEL
http://www.ancine.gov.br;ancine.gov.br;AGENCIA NACIONAL DO CINEMA
http://www.aneel.gov.br;aneel.gov.br;ANEEL - AG
http://www.anp.gov.br;anp.gov.br;AGENCIA NACIONAL DO PETROLEO, GAS NATURAL E BIOCO.
http://www.ans-saude.gov.br;ans-saude.gov.br;AGENCIA NACIONAL DE SAUDE SUPLEMENTAR
http://www.ans.gov.br;ans.gov.br;AGENCIA NACIONAL DE SAUDE SUPLEMENTAR
http://www.anssaude.gov.br;anssaude.gov.br;AGENCIA NACIONAL DE SAUDE SUPLEMENTAR
http://www.antaq.gov.br;antaq.gov.br;AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS
http://www.antt.gov.br;antt.gov.br;AGENCIA NACIONAL DE TRANSPORTES TERRESTRES
http://www.anvisa.gov.br;anvisa.gov.br;AGENCIA NACIONAL DE VIGILANCIA SANITARIA
http://www.anvs.gov.br;anvs.gov.br;AGENCIA NACIONAL DE VIGILANCIA SANITARIA
http://www.ap.gov.br;ap.gov.br;GOVERNO DO ESTADO DO AMAPA
http://www.apec.gov.br;apec.gov.br;FUNDACAO NACIONAL DE SAUDE
http://www.apo.gov.br;apo.gov.br;AUTORIDADE PUBLICA OLIMPICA
http://www.apostasurpresa.gov.br;apostasurpresa.gov.br;CAIXA ECONOMICA FEDERAL
http://www.aprendendoaexportar.gov.br;aprendendoaexportar.gov.br;MINISTERIO DO DESENVOLVIMENTO INDUSTRIA E COMERCIO
http://www.arquivonacional.gov.br;arquivonacional.gov.br;ARQUIVO NACIONAL
http://www.assistenciasocial.gov.br;assistenciasocial.gov.br;DTI/SE/MDS E COMBATE A FOME
http://www.avancabrasil.gov.br;avancabrasil.gov.br;MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO
http://www.aviacaocivil.gov.br;aviacaocivil.gov.br;SECRETARIA DE AVIACAO CIVIL
http://www.abcd.gov.br;abcd.gov.br;MINISTERIO DO ESPORTE
http://www.abcnaidadecerta.gov.br;abcnaidadecerta.gov.br;MIN. DA EDUCACAO - DIR. TECNOLOGIA DA INFORMACAO
http://www.acessoajustica.gov.br;acessoajustica.gov.br;MINISTERIO DA JUSTICA
http://www.atlasdeacessoajustica.gov.br;atlasdeacessoajustica.gov.br;MINISTERIO DA JUSTICA
http://www.abgf.gov.br;abgf.gov.br;AGENCIA BRASILEIRA G. DE F. G. E GARANTIAS S/A
http://www.acessoainformacao.gov.br;acessoainformacao.gov.br;CONTROLADORIA-GERAL DA UNIAO
http://www.acessoainformacao.gov.br;acessoainformacao.gov.br;CONTROLADORIA-GERAL DA UNIAO
http://www.ahimoc.gov.br;ahimoc.gov.br;ADMIN. DAS HIDROVIAS DA AMAZONIA OCIDENTAL
http://www.antarcticabrazil.gov.br;antarcticabrazil.gov.br;MINISTERIO DAS RELACOES EXTERIORES
http://www.aplicativos.gov.br;aplicativos.gov.br;PRESIDENCIA DA REPUBLICA
http://www.aerofacil.gov.br;aerofacil.gov.br;PRESIDENCIA DA REPUBLICA
http://www.ba.gov.br;ba.gov.br;CIA. DE PROCESSAMENTO DE DADOS DO ESTADO DA BAHIA
http://www.bacen.gov.br;bacen.gov.br;BANCO CENTRAL DO BRASIL
http://www.baciadoprata.gov.br;baciadoprata.gov.br;ANEEL - AG
http://www.badesc.gov.br;badesc.gov.br;BADESC-AG
http://www.bancocentral.gov.br;bancocentral.gov.br;BANCO CENTRAL DO BRASIL
http://www.bancodaterra.gov.br;bancodaterra.gov.br;MINISTERIO DO DESENVOLVIMENTO AGRARIO
http://www.bancodeconteudos.gov.br;bancodeconteudos.gov.br;MINISTERIO DA CULTURA
http://www.bancodeoportunidades.gov.br;bancodeoportunidades.gov.br;MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO
http://www.bancodonordeste.gov.br;bancodonordeste.gov.br;BANCO DO NORDESTE DO BRASIL S/A
http://www.banconordeste.gov.br;banconordeste.gov.br;BANCO DO NORDESTE DO BRASIL S/A
http://www.bc.gov.br;bc.gov.br;BANCO CENTRAL DO BRASIL
http://www.bcb.gov.br;bcb.gov.br;BANCO CENTRAL DO BRASIL
http://www.bcc.gov.br;bcc.gov.br;MINISTERIO DA CULTURA
